month,n,tenb,crash
200703,50,0.0,0.0
200704,66,0.0,0.0
200705,91,0.0,0.0
200706,130,0.0,0.0
200707,122,0.0,0.0
200708,146,0.0,0.00684931506849315
200709,201,0.0,0.004975124378109453
200710,207,0.0,0.00966183574879227
200711,191,0.0,0.005235602094240838
200712,168,0.0,0.0
200801,244,0.0,0.004098360655737705
200802,206,0.0,0.0
200803,242,0.0,0.0
200804,157,0.0,0.0
200805,184,0.0,0.0
200806,166,0.0,0.0
200807,106,0.0,0.0
200808,118,0.0,0.0
200809,82,0.0,0.0
200810,71,0.0,0.0
200811,55,0.0,0.0
200812,70,0.0,0.0
200901,87,0.0,0.0
200902,103,0.009708737864077669,0.0
200903,119,0.0,0.0
200904,154,0.0,0.006493506493506494
200905,155,0.0,0.0064516129032258064
200906,172,0.0,0.005813953488372093
200907,200,0.0,0.005
200908,252,0.0,0.003968253968253968
200909,195,0.0,0.005128205128205128
200910,223,0.0,0.004484304932735426
200911,245,0.0,0.004081632653061225
200912,306,0.0,0.0032679738562091504
201001,317,0.0,0.0031545741324921135
201002,294,0.0,0.003401360544217687
201003,329,0.0,0.0
201004,341,0.0,0.0
201005,317,0.0,0.0
201006,278,0.0,0.0
201007,238,0.004201680672268907,0.0
201008,302,0.0033112582781456954,0.0
201009,332,0.0030120481927710845,0.0
201010,364,0.0027472527472527475,0.0
201011,417,0.0,0.002398081534772182
201012,403,0.0,0.0
201101,419,0.0,0.0
201102,380,0.0,0.0
201103,439,0.0,0.0
201104,455,0.002197802197802198,0.0
201105,441,0.0022675736961451248,0.0
201106,406,0.0024630541871921183,0.0
201107,432,0.004629629629629629,0.0
201108,432,0.004629629629629629,0.0
201109,412,0.0048543689320388345,0.0
201110,359,0.005571030640668524,0.0
201111,376,0.005319148936170213,0.0
201112,368,0.002717391304347826,0.0
201201,295,0.006779661016949152,0.0
201202,312,0.00641025641025641,0.0
201203,362,0.0055248618784530384,0.0
201204,345,0.005797101449275362,0.0
201205,374,0.0053475935828877,0.0
201206,373,0.005361930294906166,0.0
201207,344,0.005813953488372093,0.0
201208,309,0.003236245954692557,0.0
201209,308,0.006493506493506494,0.0
201210,309,0.006472491909385114,0.0
201211,319,0.009404388714733543,0.0
201212,275,0.014545454545454545,0.0
201301,333,0.006006006006006006,0.0
201302,381,0.005249343832020997,0.0
201303,389,0.002570694087403599,0.0
201304,371,0.0026954177897574125,0.0
201305,365,0.0027397260273972603,0.0
201306,420,0.002380952380952381,0.0
201307,365,0.00821917808219178,0.0
201308,387,0.002583979328165375,0.0
201309,417,0.004796163069544364,0.0
201310,454,0.0022026431718061676,0.0
201311,435,0.0022988505747126436,0.0
201312,447,0.0022371364653243847,0.0
201401,467,0.0021413276231263384,0.0
201402,489,0.00408997955010225,0.0
201403,505,0.0039603960396039604,0.0
201404,482,0.002074688796680498,0.0
201405,467,0.004282655246252677,0.0021413276231263384
201406,477,0.0020964360587002098,0.0041928721174004195
201407,502,0.00199203187250996,0.00199203187250996
201408,541,0.0018484288354898336,0.005545286506469501
201409,578,0.0017301038062283738,0.006920415224913495
201410,681,0.0,0.007342143906020558
201411,686,0.0,0.007288629737609329
201412,715,0.0,0.006993006993006993
201501,710,0.0,0.008450704225352112
201502,753,0.0,0.00796812749003984
201503,850,0.0,0.007058823529411765
201504,1071,0.0,0.018674136321195144
201505,1213,0.0,0.02720527617477329
201506,1502,0.0,0.05193075898801598
201507,1154,0.0,0.02339688041594454
201508,940,0.0010638297872340426,0.02553191489361702
201509,764,0.007853403141361256,0.013089005235602094
201510,878,0.0056947608200455585,0.018223234624145785
201511,1047,0.0057306590257879654,0.02387774594078319
201512,1225,0.004897959183673469,0.0326530612244898
201601,1126,0.007104795737122558,0.03374777975133215
201602,784,0.02040816326530612,0.02040816326530612
201603,810,0.020987654320987655,0.02345679012345679
201604,996,0.013052208835341365,0.025100401606425703
201605,1000,0.012,0.028
201606,968,0.011363636363636364,0.026859504132231406
201607,1042,0.01055662188099808,0.025911708253358926
201608,1024,0.0126953125,0.02734375
201609,1098,0.011839708561020037,0.028233151183970857
201610,1114,0.011669658886894075,0.03231597845601436
201611,1152,0.011284722222222222,0.033854166666666664
201612,1166,0.012864493996569469,0.038593481989708404
201701,1099,0.014558689717925387,0.03821656050955414
201702,1040,0.014423076923076924,0.035576923076923075
201703,1117,0.012533572068039392,0.03401969561324977
201704,1117,0.009847806624888093,0.03401969561324977
201705,1019,0.011776251226692836,0.029440628066732092
201706,891,0.012345679012345678,0.03367003367003367
201707,980,0.01020408163265306,0.036734693877551024
201708,977,0.009211873080859774,0.02968270214943705
201709,1037,0.007714561234329798,0.03471552555448409
201710,1067,0.005623242736644799,0.03561387066541706
201711,1031,0.002909796314258002,0.037827352085354024
201712,980,0.006122448979591836,0.03163265306122449
201801,986,0.0030425963488843813,0.033468559837728194
201802,893,0.006718924972004479,0.029115341545352745
201803,915,0.004371584699453552,0.025136612021857924
201804,959,0.004171011470281543,0.026068821689259645
201805,919,0.003264417845484222,0.031556039173014146
201806,887,0.005636978579481398,0.02367531003382187
201807,782,0.005115089514066497,0.023017902813299233
201808,785,0.005095541401273885,0.024203821656050957
201809,753,0.006640106241699867,0.01593625498007968
201810,735,0.00816326530612245,0.012244897959183673
201811,687,0.008733624454148471,0.011644832605531296
201812,754,0.006631299734748011,0.011936339522546418
201901,664,0.009036144578313253,0.009036144578313253
201902,683,0.007320644216691069,0.008784773060029283
201903,843,0.0035587188612099642,0.014234875444839857
201904,982,0.003054989816700611,0.019348268839103868
201905,818,0.004889975550122249,0.013447432762836185
201906,818,0.007334963325183374,0.009779951100244499
201908,811,0.0036991368680641184,0.012330456226880395
201909,845,0.002366863905325444,0.010650887573964497
201910,824,0.0024271844660194173,0.012135922330097087
201911,846,0.002364066193853428,0.010638297872340425
201912,812,0.0024630541871921183,0.008620689655172414
202001,908,0.0022026431718061676,0.013215859030837005
202002,832,0.003605769230769231,0.010817307692307692
202003,947,0.0031678986272439284,0.010559662090813094
202004,866,0.003464203233256351,0.008083140877598153
202005,911,0.003293084522502744,0.007683863885839737
202006,942,0.0010615711252653928,0.008492569002123142
202007,982,0.0010183299389002036,0.012219959266802444
202008,1127,0.0,0.015084294587400177
202009,1130,0.002654867256637168,0.01415929203539823
202010,1074,0.0037243947858473,0.012104283054003724
202011,1037,0.003857280617164899,0.011571841851494697
202012,1078,0.0037105751391465678,0.012059369202226345
